,"ukr","en","NOTES – use \n for newline","max length"
"action_black_hole","Black hole","Black hole",,
"actiondesc_black_hole","A slow orb of void that eats through all obstacles","A slow orb of void that eats through all obstacles",,
"action_black_hole_big","Giga black hole","Giga black hole",,
"actiondesc_black_hole_big","A growing orb of negative energy that destroys everything in its reach","A growing orb of negative energy that destroys everything in its reach",,
"action_decoy","Decoy","Decoy",,
"actiondesc_decoy","Creates a decoy for distracting enemies","Creates a decoy for distracting enemies",,
"action_decoy_trigger","Decoy with trigger","Decoy with trigger",,
"actiondesc_decoy_trigger","Creates a decoy for distracting enemies that casts another spell after a timer runs out","Creates a decoy for distracting enemies that casts another spell after a timer runs out",,
"action_spitter","Spitter bolt","Spitter bolt",,
"actiondesc_spitter","A short-lived magical bolt","A short-lived magical bolt",,
"action_spitter_timer","Spitter bolt with timer","Spitter bolt with timer",,
"actiondesc_spitter_timer","A short-lived magical bolt that casts another spell after a timer runs out","A short-lived magical bolt that casts another spell after a timer runs out",,
"action_bubbleshot","Bubble spark","Bubble spark",,
"actiondesc_bubbleshot","A bouncy, inaccurate spell","A bouncy, inaccurate spell",,
"action_bubbleshot_trigger","Bubble spark with trigger","Bubble spark with trigger",,
"actiondesc_bubbleshot_trigger","A bouncy, inaccurate spell that casts another spell upon collision","A bouncy, inaccurate spell that casts another spell upon collision",,
"action_disc_bullet","Disc projectile","Disc projectile",,
"actiondesc_disc_bullet","Summons a sharp disc projectile","Summons a sharp disc projectile",,
"action_bouncy_orb","Energy sphere","Energy sphere",,
"actiondesc_bouncy_orb","A fast, arcing projectile","A fast, arcing projectile",,
"action_bouncy_orb_timer","Energy sphere with timer","Energy sphere with timer",,
"action_rubber_ball","Bouncing burst","Bouncing burst",,
"actiondesc_rubber_ball","A very bouncy projectile","A very bouncy projectile",,
"action_arrow","Arrow","Arrow",,
"actiondesc_arrow","Summons an arrow","Summons an arrow",,
"action_lance","Glowing lance","Glowing lance",,
"actiondesc_lance","A magical lance that cuts through soft materials","A magical lance that cuts through soft materials",,
"action_rocket","Magic missile","Magic missile",,
"actiondesc_rocket","A fiery, explosive projectile","A fiery, explosive projectile",,
"action_rocket_tier_2","Large magic missile","Large magic missile",,
"actiondesc_rocket_tier_2","A more powerful version of Magic missile","A more powerful version of Magic missile",,
"action_rocket_tier_3","Giant magic missile","Giant magic missile",,
"actiondesc_rocket_tier_3","The most powerful version of Magic missile","The most powerful version of Magic missile",,
"action_grenade","Firebolt","Firebolt",,
"actiondesc_grenade","A bouncy, explosive bolt","A bouncy, explosive bolt",,
"action_grenade_tier_2","Large firebolt","Large firebolt",,
"actiondesc_grenade_tier_2","A more powerful version of Firebolt","A more powerful version of Firebolt",,
"action_grenade_tier_3","Giant firebolt","Giant firebolt",,
"actiondesc_grenade_tier_3","The most powerful version of Firebolt","The most powerful version of Firebolt",,
"action_grenade_trigger","Firebolt with trigger","Firebolt with trigger",,
"actiondesc_grenade_trigger","A bouncy, explosive bolt that that casts another spell upon collision","A bouncy, explosive bolt that that casts another spell upon collision",,
"action_grenade_anti","Odd Firebolt","Odd Firebolt",,
"actiondesc_grenade_anti","A somewhat peculiar bouncy, explosive bolt","A somewhat peculiar bouncy, explosive bolt",,
"action_grenade_large","Dropper bolt","Dropper bolt",,
"actiondesc_grenade_large","A very heavy explosive bolt","A very heavy explosive bolt",,
"action_mine","Unstable crystal","Unstable crystal",,
"actiondesc_mine","A crystal that explodes when someone comes nearby","A crystal that explodes when someone comes nearby",,
"action_mine_death_trigger","Unstable crystal with trigger","Unstable crystal with trigger",,
"actiondesc_mine_death_trigger","A crystal that explodes and casts another spell when someone comes nearby","A crystal that explodes and casts another spell when someone comes nearby",,
"action_pipe_bomb","Dormant crystal","Dormant crystal",,
"actiondesc_pipe_bomb","A crystal that explodes when caught in an explosion","A crystal that explodes when caught in an explosion",,
"action_pipe_bomb_death_trigger","Dormant crystal with trigger","Dormant crystal with trigger",,
"actiondesc_pipe_bomb_death_trigger","A crystal that explodes and casts another spell when caught in an explosion","A crystal that explodes and casts another spell when caught in an explosion",,
"action_exploding_deer","Summon deercoy","Summon deercoy",,
"actiondesc_exploding_deer","Summons a seemingly-innocuous deer","Summons a seemingly-innocuous deer",,
"action_pipe_bomb_detonator","Dormant crystal detonation","Dormant crystal detonation",,
"actiondesc_pipe_bomb_detonator","All nearby dormant crystals explode","All nearby dormant crystals explode",,
"action_laser","Concentrated light","Concentrated light",,
"actiondesc_laser","A pinpointed beam of light","A pinpointed beam of light",,
"action_lightning","Lightning bolt","Lightning bolt",,
"actiondesc_lightning","The primordial force of nature","The primordial force of nature",,
"action_digger","Digging bolt","Digging bolt",,
"actiondesc_digger","A bolt that is ideal for mining operations","A bolt that is ideal for mining operations",,
"action_powerdigger","Digging blast","Digging blast",,
"actiondesc_powerdigger","More powerful digging","More powerful digging",,
"action_chainsaw","Chainsaw","Chainsaw",,
"action_tentacle","Summon Tentacle","Summon Tentacle",,
"actiondesc_tentacle","Calls a terrifying appendage from another dimension","Calls a terrifying appendage from another dimension",,
"action_tentacle_timer","Summon Tentacle with timer","Summon Tentacle with timer",,
"actiondesc_tentacle_timer","Calls a terrifying appendage from another dimension! Comes with a timer","Calls a terrifying appendage from another dimension! Comes with a timer",,
"action_heal_bullet","Healing bolt","Healing bolt",,
"action_spiral_shot","Spiral shot","Spiral shot",,
"actiondesc_spiral_shot","A mystical whirlwind of magic sparks","A mystical whirlwind of magic sparks",,
"action_fireball","Fireball","Fireball",,
"actiondesc_fireball","A powerful exploding spell","A powerful exploding spell",,
"action_meteor","Meteor","Meteor",,
"actiondesc_meteor","A destructive projectile from the skies!","A destructive projectile from the skies!",,
"action_flamethrower","Flamethrower","Flamethrower",,
"actiondesc_flamethrower","A stream of fire!!","A stream of fire!!",,
"action_icethrower","Icethrower","Icethrower",,
"actiondesc_icethrower","A stream of ice!!","A stream of ice!!",,
"action_slimeball","Slimeball","Slimeball",,
"actiondesc_slimeball","A dripping ball of poisonous slime","A dripping ball of poisonous slime",,
"action_darkflame","Path of dark flame","Path of dark flame",,
"actiondesc_darkflame","A trail of dark, deadly flames","A trail of dark, deadly flames",,
"action_missile","Summon missile","Summon missile",,
"actiondesc_missile","A missile!!!","A missile!!!",,
"action_pebble","Summon rock spirit","Summon rock spirit",,
"actiondesc_pebble","Summons an autonomous rock ally","Summons an autonomous rock ally",,
"action_dynamite","Dynamite","Dynamite",,
"actiondesc_dynamite","Summons a small explosive","Summons a small explosive",,
"action_bomb_legacy","Bomb","Bomb",,
"actiondesc_bomb_legacy","Summons a bomb that destroys ground very efficiently","Summons a bomb that destroys ground very efficiently",,
"action_bomb","Bomb","Bomb",,
"actiondesc_bomb","Summons a bomb that destroys ground very efficiently","Summons a bomb that destroys ground very efficiently",,
"action_bomb_holy","Holy Bomb","Holy Bomb",,
"actiondesc_bomb_holy","Summons a bomb that... well...","Summons a bomb that... well...",,
"action_knife","Throwing Knife","Throwing Knife",,
"actiondesc_knife","Very deadly!","Very deadly!",,
"action_crumbling_earth","Earthquake","Earthquake",,
"actiondesc_crumbling_earth","Calls the anger of the earth","Calls the anger of the earth",,
"action_circleshot_a","Circle shot","Circle shot",,
"actiondesc_circleshot_a","Projectiles fly out in a circular pattern","Projectiles fly out in a circular pattern",,
"action_circleshot_b","Spiral shot","Spiral shot",,
"actiondesc_circleshot_b","Projectiles fly out in a spiral pattern","Projectiles fly out in a spiral pattern",,
"action_acidshot","Acid ball","Acid ball",,
"actiondesc_acidshot","A terrifying acidic projectile","A terrifying acidic projectile",,
"action_thunderball","Thunder charge","Thunder charge",,
"actiondesc_thunderball","A projectile with immense stored electricity","A projectile with immense stored electricity",,
"action_bloomshot","Slime arc","Slime arc",,
"actiondesc_bloomshot","Spells cast alongside this will have arcs of slime flowing between them","Spells cast alongside this will have arcs of slime flowing between them",,
"action_icecircle","Ice circle","Ice circle",,
"actiondesc_icecircle","Shoots icy projectiles in a circle","Shoots icy projectiles in a circle",,
"action_firebomb","Firebomb","Firebomb",,
"actiondesc_firebomb","Slow, fiery bolt","Slow, fiery bolt",,
"action_soilball","Chunk of soil","Chunk of soil",,
"actiondesc_soilball","Don't soil yourself","Don't soil yourself",,
"action_pink_orb","Homing orb","Homing orb",,
"actiondesc_pink_orb","A dangerous, homing orb","A dangerous, homing orb",,
"action_death_cross","Death cross","Death cross",,
"actiondesc_death_cross","A deadly energy cross that explodes after a short time","A deadly energy cross that explodes after a short time",,
"action_plasma_flare","Plasma flare","Plasma flare",,
"actiondesc_plasma_flare","A magical projectile that accelerates quickly","A magical projectile that accelerates quickly",,
"action_keyshot","Key shot","Key shot",,
"actiondesc_keyshot","A powerful projectile. Nothing out of ordinary","A powerful projectile. Nothing out of ordinary",,
"action_mana","Mana","Mana",,
"actiondesc_mana","Extra mana","Extra mana",,
"action_skull","Skull","Skull",,
"actiondesc_skull","Scary skull!!!","Scary skull!!!",,
"action_material_debug","shoots debug material","shoots debug material",,
"actiondesc_material_debug","ONLY TO BE USED IN DEBUG MODE!","ONLY TO BE USED IN DEBUG MODE!",,
"action_material_liquid","shoots liquid","shoots liquid",,
"actiondesc_material_liquid","Drop it in liquid and shoot it!","Drop it in liquid and shoot it!",,
"action_mist_radioactive","Toxic mist","Toxic mist",,
"actiondesc_mist_radioactive","A cloud of toxic mist","A cloud of toxic mist",,
"action_mist_alcohol","mist of spirits","mist of spirits",,
"actiondesc_mist_alcohol","A cloud of potent alcohol","A cloud of potent alcohol",,
"action_mist_slime","Slime mist","Slime mist",,
"actiondesc_mist_slime","A cloud of slimy mist","A cloud of slimy mist",,
"action_mist_blood","Blood mist","Blood mist",,
"actiondesc_mist_blood","A cloud of blood mist","A cloud of blood mist",,
"action_circle_fire","Circle of fire","Circle of fire",,
"actiondesc_circle_fire","An expanding circle of burning air","An expanding circle of burning air",,
"action_circle_acid","Circle of acid","Circle of acid",,
"actiondesc_circle_acid","An expanding circle of dripping acid","An expanding circle of dripping acid",,
"action_circle_oil","Circle of oil","Circle of oil",,
"actiondesc_circle_oil","An expanding circle of slick oil","An expanding circle of slick oil",,
"action_circle_water","Circle of water","Circle of water",,
"actiondesc_circle_water","An expanding circle of water","An expanding circle of water",,
"action_material_water","Water","Water",,
"actiondesc_material_water","Transmute drops of water from nothing","Transmute drops of water from nothing",,
"action_material_oil","Oil","Oil",,
"actiondesc_material_oil","Transmute drops of oil from nothing","Transmute drops of oil from nothing",,
"action_material_blood","Blood","Blood",,
"actiondesc_material_blood","Blood blood blood","Blood blood blood",,
"action_material_acid","Acid","Acid",,
"actiondesc_material_acid","Transmute drops of acid from nothing","Transmute drops of acid from nothing",,
"action_material_cement","Cement","Cement",,
"actiondesc_material_cement","Transmute drops of wet cement from nothing","Transmute drops of wet cement from nothing",,
"action_material_lava","Lava","Lava",,
"actiondesc_material_lava","Transmute globs of lava from nothing","Transmute globs of lava from nothing",,
"action_material_gunpowder_explosive","Explosive gunpowder","Explosive gunpowder",,
"actiondesc_material_gunpowder_explosive","Transmute grains of gunpowder from nothing","Transmute grains of gunpowder from nothing",,
"action_material_dirt","Dirt","Dirt",,
"actiondesc_material_dirt","Transmute grains of dirt from nothing","Transmute grains of dirt from nothing",,
"action_building_board_wood","Wooden mold","Wooden mold","doesn't need to be translated",
"actiondesc_building_board_wood","Useful for cement construction. REQUIRES SOLAR POWER TO RECHARGE.","Useful for cement construction. REQUIRES SOLAR POWER TO RECHARGE.","doesn't need to be translated",
"action_building_back_wall_rock","Back wall (rock)","Back wall (rock)","doesn't need to be translated",
"actiondesc_building_back_wall_rock","Provides structural support. REQUIRES SOLAR POWER TO RECHARGE.","Provides structural support. REQUIRES SOLAR POWER TO RECHARGE.","doesn't need to be translated",
"action_building_pressure_plate","Pressure plate","Pressure plate","doesn't need to be translated",
"actiondesc_building_pressure_plate","TODO","TODO","doesn't need to be translated",
"action_building_physics_templedoor","Temple door","Temple door","doesn't need to be translated",
"actiondesc_building_physics_templedoor","TODO","TODO","doesn't need to be translated",
"action_teleport_projectile","Teleport bolt","Teleport bolt",,
"actiondesc_teleport_projectile","A magical bolt that moves you wherever it ends up flying","A magical bolt that moves you wherever it ends up flying",,
"action_teleport_home","Teleport home","Teleport home",,
"actiondesc_teleport_home","Creates a portal to the surface that can be used once per each direction","Creates a portal to the surface that can be used once per each direction",,
"action_levitation_projectile","LEVITATION projectile","LEVITATION projectile",,
"actiondesc_levitation_projectile","Levitation stuff","Levitation stuff",,
"action_nuke","Nuke","Nuke",,
"actiondesc_nuke","Take cover!","Take cover!",,
"action_high_explosive","TNT","TNT",,
"actiondesc_high_explosive","Extremely powerful explosive projectile","Extremely powerful explosive projectile",,
"action_drone","Drone","Drone",,
"actiondesc_drone","More powerful digging","More powerful digging",,
"action_baab_is","IS","IS","doesn't need to be translated",
"actiondesc_baab_is",,,"doesn't need to be translated",
"action_baab_all","ALL","ALL","doesn't need to be translated",
"actiondesc_baab_all",,,"doesn't need to be translated",
"action_baab_empty","ALL","ALL","doesn't need to be translated",
"actiondesc_baab_empty",,,"doesn't need to be translated",
"action_baab_lava","LAVA","LAVA","doesn't need to be translated",
"actiondesc_baab_lava",,,"doesn't need to be translated",
"action_baab_water","WATER","WATER","doesn't need to be translated",
"actiondesc_baab_water",,,"doesn't need to be translated",
"action_baab_poop","POOP","POOP","doesn't need to be translated",
"actiondesc_baab_poop",,,"doesn't need to be translated",
"action_baab_love","LOVE","LOVE","doesn't need to be translated",
"actiondesc_baab_love",,,"doesn't need to be translated",
"action_firework","Fireworks!","Fireworks!",,
"actiondesc_firework","A fiery, explosive projectile","A fiery, explosive projectile",,
"projectile_default","projectile","projectile",,
"perk_critical_hit","Critical Hit +","Critical Hit +",,
"perkdesc_critical_hit","You get more critical hits","You get more critical hits",,
"perk_breath_underwater","Breathless","Breathless",,
"perkdesc_breath_underwater","You won't drown when submerged.","You won't drown when submerged.",,
"perk_extra_money","Greed","Greed",,
"perkdesc_extra_money","You gain double the gold per nugget.","You gain double the gold per nugget.",,
"perk_extra_money_trick_kill","Trick Greed","Trick Greed",,
"perkdesc_extra_money_trick_kill","4x instead of 2x gold is dropped when death is an accident.","4x instead of 2x gold is dropped when death is an accident.",,
"perk_hover_boost","Strong Levitation","Strong Levitation",,
"perkdesc_hover_boost","You can fly 100% longer.","You can fly 100% longer.",,
"perk_movement_faster","Faster Movement","Faster Movement",,
"perkdesc_movement_faster","Your movement speed is increased.","Your movement speed is increased.",,
"perk_repelling_cape","Repelling Cape","Repelling Cape",,
"perkdesc_repelling_cape","Stains drop at a fast rate (when moving).","Stains drop at a fast rate (when moving).",,
"perk_exploding_corpses","Exploding Corpses","Exploding Corpses",,
"perkdesc_exploding_corpses","Enemies explode upon death.","Enemies explode upon death.",,
"perk_saving_grace","Saving Grace","Saving Grace",,
"perkdesc_saving_grace","If you would die and have more than 1 HP, your HP is set to 1 instead.","If you would die and have more than 1 HP, your HP is set to 1 instead.",,
"perk_invisibility","Invisibility","Invisibility",,
"perkdesc_invisibility","You're invisible. Stains, casting spells, kicking and taking damage makes you temporarily visible.","You're invisible. Stains, casting spells, kicking and taking damage makes you temporarily visible.",,
"perk_global_gore","More Blood","More Blood",,
"perkdesc_global_gore","Blood blood blood.","Blood blood blood.",,
"perk_no_damage_flash","No Damage Flash","No Damage Flash",,
"perkdesc_no_damage_flash","Pain is inevitable, but damage flash is optional.","Pain is inevitable, but damage flash is optional.",,
"perk_reverse_slowdown","Slicky Slime","Slicky Slime",,
"perkdesc_reverse_slowdown","Instead of slowing you down, slime allows you to move faster.","Instead of slowing you down, slime allows you to move faster.",,
"perk_extra_hp","Extra Health","Extra Health",,
"perkdesc_extra_hp","You gain 50% extra maximum health.","You gain 50% extra maximum health.",,
"perk_glass_cannon","Glass Cannon","Glass Cannon",,
"perkdesc_glass_cannon","Your spells deal 5x damage and have larger blast ranges, but your maximum health is capped to 50.","Your spells deal 5x damage and have larger blast ranges, but your maximum health is capped to 50.",,
"perk_respawn","Extra Life (One-off)","Extra Life (One-off)",,
"perkdesc_respawn","Upon death you respawn with 100 health.","Upon death you respawn with 100 health.",,
"perk_protection_fire","Fire Immunity","Fire Immunity",,
"perkdesc_protection_fire","You take no damage from fire.","You take no damage from fire.",,
"perk_protection_radioactivity","Toxic Sludge Immunity","Toxic Sludge Immunity",,
"perkdesc_protection_radioactivity","You take no damage from toxic sludge.","You take no damage from toxic sludge.",,
"perk_protection_explosion","Explosion Immunity","Explosion Immunity",,
"perkdesc_protection_explosion","You take no direct damage from explosions.","You take no direct damage from explosions.",,
"perk_protection_melee","Melee Immunity","Melee Immunity",,
"perkdesc_protection_melee","You take no damage from close-range enemy attacks.","You take no damage from close-range enemy attacks.",,
"perk_protection_electricity","Electricity Immunity","Electricity Immunity",,
"perkdesc_protection_electricity","You take no damage from electric shocks.","You take no damage from electric shocks.",,
"perk_teleportitis","Teleportitis","Teleportitis",,
"perkdesc_teleportitis","You take 20% less damage. You teleport away every time you're hurt.","You take 20% less damage. You teleport away every time you're hurt.",,
"perk_stainless_armour","Stainless Armour","Stainless Armour",,
"perkdesc_stainless_armour","You take 50% less damage as long as you have no active stain status effect.","You take 50% less damage as long as you have no active stain status effect.",,
"perk_edit_wands_everywhere","Tinker With Wands Everywhere","Tinker With Wands Everywhere",,
"perkdesc_edit_wands_everywhere","A divine blessing allows you to tinker with wands everywhere.","A divine blessing allows you to tinker with wands everywhere.",,
"perk_projectile_homing","Homing Shots","Homing Shots",,
"perkdesc_projectile_homing","Your spells home towards enemies very slightly.","Your spells home towards enemies very slightly.",,
"perk_freeze_field","Freeze Field","Freeze Field",,
"perkdesc_freeze_field","Liquids freeze in your presence.","Liquids freeze in your presence.",,
"perk_dissolve_powders","Dissolve Powders","Dissolve Powders",,
"perkdesc_dissolve_powders","Sand and other soft, powdery materials dissolve quickly in your presence.","Sand and other soft, powdery materials dissolve quickly in your presence.",,
"perk_bleed_slime","Slime Blood","Slime Blood",,
"perk_shield","Permanent Shield","Permanent Shield",,
"perkdesc_shield","You gain a small, permanent shield.","You gain a small, permanent shield.",,
"perk_revenge_explosion","Revenge Explosion","Revenge Explosion",,
"perkdesc_revenge_explosion","When you take damage, you release a magical explosion that hurts enemies around you.","When you take damage, you release a magical explosion that hurts enemies around you.",,
"perk_electricity","Electricity","Electricity",,
"perkdesc_electricity","You're immune to electric damage, but metal and liquids around you electrify constantly. Look out!","You're immune to electric damage, but metal and liquids around you electrify constantly. Look out!",,
"perk_mystery_eggplant","Mystery Eggplant","Mystery Eggplant",,
"perkdesc_mystery_eggplant","It breaks easily.","It breaks easily.",,
"perk_double_hp","Double Health, No Regeneration","Double Health, No Regeneration",,
"perkdesc_double_hp","Your maximum HP is doubled, but you take 20% more damage from projectiles.","Your maximum HP is doubled, but you take 20% more damage from projectiles.",,
"perk_berserk","Berserk","Berserk",,
"perkdesc_berserk","The less HP you have, the more damage your spells deal, up to +300% extra damage.","The less HP you have, the more damage your spells deal, up to +300% extra damage.",,
"perk_shuffle_wands","Shuffle Wands","Shuffle Wands",,
"perkdesc_shuffle_wands","All your wands are replaced with random wands of approximately equal power.","All your wands are replaced with random wands of approximately equal power.",,
"perk_heavy_ammo","Heavy Ammo","Heavy Ammo",,
"perkdesc_heavy_ammo","You gain a selection of 2 powerful spells.","You gain a selection of 2 powerful spells.",,
"perk_liquid_movement","Liquid Movement","Liquid Movement",,
"perkdesc_liquid_movement","Liquids don't affect your movement at all.","Liquids don't affect your movement at all.",,
"perk_faster_swimming","Faster Swimming","Faster Swimming",,
"perkdesc_faster_swimming","You swim faster.","You swim faster.",,
"perk_extra_shop_item","Extra Item In Holy Mountain","Extra Item In Holy Mountain",,
"perkdesc_extra_shop_item","There will be an additional item in every Holy Mountain you haven't discovered yet.","There will be an additional item in every Holy Mountain you haven't discovered yet.",,
"perk_poison_burn","Burning Poison","Burning Poison",,
"perkdesc_poison_burn","Your projectiles have a chance to ignite poisoned enemies.","Your projectiles have a chance to ignite poisoned enemies.",,
"perk_low_gravity","Low Gravity","Low Gravity",,
"perkdesc_low_gravity","Your movement is floatier and you can jump and fly higher.","Your movement is floatier and you can jump and fly higher.",,
"perk_destruction_enhancement","Destruction Enhancement","Destruction Enhancement",,
"perkdesc_destruction_enchancement","You can destroy the environment more effectively.","You can destroy the environment more effectively.",,
"perk_damaging_aura","Damaging Aura","Damaging Aura",,
"perkdesc_damaging_aura","Your spells damage nearby enemies even if they don't hit them.","Your spells damage nearby enemies even if they don't hit them.",,
"perk_thunder_kick","Thunder Kick","Thunder Kick",,
"perkdesc_thunder_kick","Your kicks instantly kill most foes, and push objects more.","Your kicks instantly kill most foes, and push objects more.",,
"perk_vision","Better Vision","Better Vision",,
"perkdesc_vision","You can see more into the darkness.","You can see more into the darkness.",,
"perk_telepathic_vision","Telepathic Presence","Telepathic Presence",,
"perkdesc_telepathic_vision","Darkness is no more, but enemies always know where you are.","Darkness is no more, but enemies always know where you are.",,
"perk_no_more_knockback","No More Knockback","No More Knockback",,
"perkdesc_no_more_knockback","Enemies can no longer knock you back.","Enemies can no longer knock you back.",,
"perk_knockback_control","Controllable Knockback","Controllable Knockback",,
"perkdesc_knockback_control","You can steer while being knocked back.","You can steer while being knocked back.",,
"perk_roll_again","Roll Again","Roll Again",,
"perkdesc_roll_again","You get a new set of perks to choose from.","You get a new set of perks to choose from.",,
"perk_reveal_secrets","Reveal Secrets","Reveal Secrets",,
"perkdesc_reveal_secrets","Chests, hearts and other items shine through darkness.","Chests, hearts and other items shine through darkness.",,
"perk_potion_drop","Potion Drop","Potion Drop",,
"perkdesc_potion_drop","Enemies have a chance of dropping a random potion upon death.","Enemies have a chance of dropping a random potion upon death.",,
"perk_mystery_egg","Mystery Egg","Mystery Egg",,
"perkdesc_mystery_egg","Something may hatch from it!","Something may hatch from it!",,
"perk_gold_no_disappear_while_seen","Golden I","Golden I",,
"perkdesc_gold_no_disappear_while_seen","Gold doesn't disappear as long as it can be seen.","Gold doesn't disappear as long as it can be seen.",,
"perk_mana_discount","Mana Discount","Mana Discount",,
"perkdesc_mana_discount","All spells cost 50% less mana.","All spells cost 50% less mana.",,
"perk_juggernaut","Juggernaut Spells","Juggernaut Spells",,
"perkdesc_juggernaut","Your projectiles deal 30% more damage, but are 30% slower.","Your projectiles deal 30% more damage, but are 30% slower.",,
"perk_big_potions","Big Potions","Big Potions",,
"perkdesc_big_potions","Potions you find contain double the liquid.","Potions you find contain double the liquid.",,
"perk_extra_charges","Extra Charges","Extra Charges",,
"perkdesc_extra_charges","Spells with limited uses can be used twice as many times.","Spells with limited uses can be used twice as many times.",,
"perk_fast_projectiles","Fast Projectiles","Fast Projectiles",,
"perkdesc_fast_projectiles","All projectiles fly at double speed.","All projectiles fly at double speed.",,
"perk_deadly_environment","Deadly Environment","Deadly Environment",,
"perkdesc_deadly_environment","Creatures take increased damage from poison and other liquids, fire, and more.","Creatures take increased damage from poison and other liquids, fire, and more.",,
"perk_cursed_power","Cursed Power","Cursed Power",,
"perkdesc_cursed_power","All your wands gain extra damage but become uncustomizable.","All your wands gain extra damage but become uncustomizable.",,
"perk_randomize_spells","Randomize Spells","Randomize Spells",,
"perkdesc_randomize_spells","All spells in your inventory are replaced with a random spell.","All spells in your inventory are replaced with a random spell.",,
"perk_personal_raincloud","Personal Raincloud","Personal Raincloud",,
"perkdesc_personal_raincloud","You gather water when standing in a pool, and release it if you shoot at the cloud that follows you.","You gather water when standing in a pool, and release it if you shoot at the cloud that follows you.",,
"perk_helper_orb","Helper Orb","Helper Orb",,
"perkdesc_helper_orb","An orb flies near you and attacks your enemies.","An orb flies near you and attacks your enemies.",,
"perk_extra_wand_slot","Extra Wand Storage","Extra Wand Storage",,
"perkdesc_extra_wand_slot","You can carry one extra wand.","You can carry one extra wand.",,
"perk_extra_potion_slot","Extra Item Storage","Extra Item Storage",,
"perkdesc_extra_potion_slot","You can carry one extra item.","You can carry one extra item.",,
"perk_extra_action_storage","Extra Spell Storage","Extra Spell Storage",,
"perkdesc_extra_action_storage","You gain more room for spells","You gain more room for spells",,
"perk_persuasion","Persuasion","Persuasion",,
"perkdesc_persuasion","Enemies with low health may start fighting for you.","Enemies with low health may start fighting for you.",,
"perk_permanent_flying","Floor Is Lava","Floor Is Lava",,
"perkdesc_permanent_flying","You can fly forever, but standing on the ground deals you damage over time.","You can fly forever, but standing on the ground deals you damage over time.",,
"perk_melt","Melting Corpses","Melting Corpses",,
"perkdesc_melt","Your enemies' corpses melt into slime.","Your enemies' corpses melt into slime.",,
"perk_double_cast","Double Cast","Double Cast",,
"perkdesc_double_cast","Your wands cast one extra spell when used.","Your wands cast one extra spell when used.",,
"perk_ability_actions_materialized","Bombs Materialized","Bombs Materialized",,
"perkdesc_ability_actions_materialized","Bomb-like spells can be placed in the ITEMS space in inventory and used like throwable items.","Bomb-like spells can be placed in the ITEMS space in inventory and used like throwable items.",,
"mat_air","air","air",,
"mat_fire","fire","fire",,
"mat_spark","spark","spark",,
"mat_spark_green","spark","spark",,
"mat_spark_blue","spark","spark",,
"mat_spark_red","spark","spark",,
"mat_spark_white","spark","spark",,
"mat_spark_yellow","spark","spark",,
"mat_spark_purple","spark","spark",,
"mat_spark_player","spark","spark",,
"mat_spark_teal","spark","spark",,
"mat_spark_electric","electric spark","electric spark",,
"mat_flame","fire","fire",,
"mat_sand_static","ground","ground",,
"mat_sand_static_rainforest","lush ground","lush ground",,
"mat_bone_static","bone wall","bone wall",,
"mat_rust_static","rusted metal","rusted metal",,
"mat_sand_static_bright","granite ground","granite ground",,
"mat_sand_static_red","rusty ground","rusty ground",,
"mat_nest_static","nest","nest",,
"mat_bluefungi_static","blue fungus","blue fungus",,
"mat_cheese_static","cheese","cheese",,
"mat_rock_static","rock","rock",,
"mat_rock_static_intro","rock","rock",,
"mat_water_static","Water","Water",,
"mat_endslime_static","hell slime","hell slime",,
"mat_slime_static","slime","slime",,
"mat_rock_hard","dense rock","dense rock",,
"mat_rock_static_noedge","rock","rock",,
"mat_rock_hard_border","extremely dense rock","extremely dense rock",,
"mat_rock_magic_gate","magic gate","magic gate",,
"mat_rock_magic_bottom","magic wall","magic wall",,
"mat_rock_eroding","eroding rock","eroding rock",,
"mat_rock_vault","vault rock","vault rock",,
"mat_coal_static","coal vein","coal vein",,
"mat_rock_static_grey","grey rock","grey rock",,
"mat_rock_static_radioactive","toxic rock","toxic rock",,
"mat_rock_static_poison","poisonous rock","poisonous rock",,
"mat_skullrock","hell rock","hell rock",,
"mat_rock_static_wet","damp rock","damp rock",,
"mat_lavarock_static","volcanic rock","volcanic rock",,
"mat_lava","lava","lava",,
"mat_meteorite_static","meteorite","meteorite",,
"mat_templerock_static","brickwork","brickwork",,
"mat_templebrick_static","brickwork","brickwork",,
"mat_templebrick_noedge_static","brickwork","brickwork",,
"mat_templebrick_thick_static","brickwork","brickwork",,
"mat_templebrickdark_static","brickwork","brickwork",,
"mat_templeslab_static","brickwork","brickwork",,
"mat_templeslab_crumbling_static","brickwork","brickwork",,
"mat_glowstone","glowing stone","glowing stone",,
"mat_glowstone_altar","glowing stone","glowing stone",,
"mat_glowstone_potion","glowing stone","glowing stone",,
"mat_templebrick_red","brickwork","brickwork",,
"mat_templebrick_moss_static","mossy brickwork","mossy brickwork",,
"mat_the_end","hell rock","hell rock",,
"mat_steel_static","steel","steel",,
"mat_steelmoss_static","mossy steel","mossy steel",,
"mat_steelmoss_slanted","mossy steel","mossy steel",,
"mat_steelsmoke_static","smoking steel","smoking steel",,
"mat_steelpipe_static","metal pipe","metal pipe",,
"mat_steel_static_strong","dense steel","dense steel",,
"mat_steel_static_unmeltable","hardened steel","hardened steel",,
"mat_rock_static_glow","glowing matter","glowing matter",,
"mat_snow_static","packed snow","packed snow",,
"mat_ice_static","ice","ice",,
