"","ukr","en","NOTES – use \n for newline","max length"
"actiondesc_poison_blast","Alximičnyj vybux","An alchemical explosion","",""
"action_alcohol_blast","Vybux duxiv","Explosion of spirits","",""
"actiondesc_alcohol_blast","Xmiljnyj vybux","An inebriating explosion","",""
"action_thunder_blast","Vybux ğromu","Explosion of thunder","",""
"actiondesc_thunder_blast","Elektryčnyj vybux","An electric explosion","",""
"action_charm_field","Kolo perekonannja","Circle of persuasion","",""
"actiondesc_charm_field","Pole čarujučoï mağiï","A field of charming magic","",""
"action_berserk_field","Kolo zapalu","Circle of fervour","",""
"actiondesc_berserk_field","Pole mağiï ljuti","A field of berserk magic","",""
"action_polymorph_field","Kolo metamorfoz","Circle of transmogrification","",""
"actiondesc_polymorph_field","Pole ovečoï mağiï","A field of sheep-like magic","",""
"action_chaos_polymorph_field","Kolo nestabiljnoğo metamorfozu","Circle of unstable metamorphosis","",""
"actiondesc_chaos_polymorph_field","Pole transformacijnoï mağiï","A field of transformative magic","",""
"action_electrocution_field","Kolo ğromu","Circle of thunder","",""
"actiondesc_electrocution_field","Pole mağiï elektryzaciï","A field of electrifying magic","",""
"action_freeze_field","Kolo neruxomosti","Circle of stillness","",""
"actiondesc_freeze_field","Pole kryžanoï mağiï","A field of freezing magic","",""
"action_regeneration_field","Kolo zcilennja","Circle of vigour","",""
"actiondesc_regeneration_field","Pole reğeneratyvnoï mağiï","A field of regenerative magic","",""
"action_teleportation_field","Kolo peremiŝennja","Circle of displacement","",""
"actiondesc_teleportation_field","Pole mağiï teleportaciï","A field of teleportative magic","",""
"action_levitation_field","Kolo plavučosti","Circle of buoyancy","",""
"actiondesc_levitation_field","Pole levitacijnoï mağiï","A field of levitative magic","",""
"action_telepathy_field","Kolo bačennja","Circle of seeing","",""
"actiondesc_telepathy_field","Pole jasnovydnoï mağiï","A field of clairvoyant magic","",""
"action_shield_field","Kolo zaxystu","Circle of shielding","",""
"actiondesc_shield_field","Pole zaxysnoï mağiï","A field of protective magic","",""
"action_sea_lava","More lavy","Sea of lava","",""
"actiondesc_sea_lava","Stvorjuje velyku kiljkistj lavy pid zaklynačem","Summons a large body of lava below the caster","",""
"action_sea_oil","More nafty","Sea of oil","",""
"actiondesc_sea_oil","Stvorjuje velyku kiljkistj nafty pid zaklynačem","Summons a large body of oil below the caster","",""
"action_sea_water","More vody","Sea of water","",""
"actiondesc_sea_water","Stvorjuje velyku kiljkistj vody pid zaklynačem","Summons a large body of water below the caster","",""
"action_sea_acid","More kysloty","Sea of acid","",""
"actiondesc_sea_acid","Stvorjuje velyku kiljkistj kysloty pid zaklynačem","Summons a large body of acid below the caster","",""
"action_sea_acid_gas","More leğkozajmystoğo ğazu","Sea of flammable gas","",""
"actiondesc_sea_acid_gas","Stvorjuje velyku kiljkistj leğkozajmystoğo ğazu pid zaklynačem","Summons a large body of flammable gas below the caster","",""
"action_sea_alcohol","More alkoğolju","Sea of alcohol","",""
"actiondesc_sea_alcohol","Stvorjuje velyku kiljkistj smačnoğo alkoğolju pid zaklynačem","Summons a large body of tasty alcohol below the caster","",""
"action_cloud_water","Doŝova xmara","Rain cloud","",""
"actiondesc_cloud_water","Stvorjuje vodne poğodne javyŝe","Creates a watery weather phenomenon","",""
"action_cloud_blood","Kryvava xmara","Blood cloud","",""
"actiondesc_cloud_blood","Stvorjuje kryvavyj doŝ","Creates a rain of blood","",""
"action_cloud_acid","Kyslotna xmara","Acid cloud","",""
"actiondesc_cloud_acid","Stvorjuje kyslotnyj doŝ","Creates an rain of acid","",""
"action_cloud_thunder","Ğromova xmara","Thundercloud","",""
"actiondesc_cloud_thunder","Stvorjuje štormovu xmaru","Creates a stormy cloud","",""
"action_electric_charge","Elektryčnyj zarjad","Electric charge","",""
"actiondesc_electric_charge","Daje snarjadu elektryčnyj zarjad, ŝo vyviljnjajetjsja pry zitknenni","Gives a projectile an electric charge, that it will release on impact","",""
"action_matter_eater","Poğlynač materiï","Matter eater","",""
"actiondesc_matter_eater","Zmušuje snarjad poïdaty otočennja pid čas poljotu","Makes a projectile eat the environment as it flies","",""
"action_freeze","Moroznyj zarjad","Freeze charge","",""
"actiondesc_freeze","Daje snarjadu moroznyj zarjad, ŝo vyviljnjajetjsja pry zitknenni","Gives a projectile a frozen charge, that it will release on impact","",""
"action_hitfx_burning_critical_hit","Kryt po voğnju","Critical on burning","",""
"actiondesc_hitfx_burning_critical_hit","Snarjad zavždy zavdaje krytyčnyj udar po voroğax u voğni","Makes a projectile always do a critical hit on burning enemies","",""
"action_hitfx_critical_water","Kryt po mokrym (u vodi) voroğam","Critical on wet (water) enemies","",""
"actiondesc_hitfx_critical_water","Daje snarjadu ğarantovanyj krytyčnyj udar po voloğym (u vodi) voroğam","Makes a projectile always do a critical hit on wet (water) enemies","",""
"action_hitfx_critical_oil","Kryt po voroğax v nafti","Critical on oiled enemies","",""
"actiondesc_hitfx_critical_oil","Snarjad zavždy zavdaje krytyčnyj udar po voroğax pokrytyx naftoju","Makes a projectile always do a critical hit on oiled enemies","",""
"action_hitfx_critical_blood","Kryt po voroğax v krovi","Critical on bloody enemies","",""
"actiondesc_hitfx_critical_blood","Snarjad zavždy zavdaje krytyčnyj udar po voroğax pokrytyx krov'ju","Makes a projectile always do a critical hit on bloody enemies","",""
"action_hitfx_poltergeist","Poltergejst","Poltergeist","",""
"actiondesc_hitfx_poltergeist","Nadaje snarjadu sylu ožyvljaty fizyčni ob’jekty","Gives a projectile the power to animate physical objects","",""
"action_fireball_ray","Metaljnyk voğnjanyx kulj","Fireball thrower","",""
"actiondesc_fireball_ray","Zmušuje snarjad kydaty voğnjani kuli u vypadkovyx naprjamkax","Makes a projectile cast fireballs in random directions","",""
"action_hitfx_oiled_freeze","Zamorožennja nafty","Oil freeze","",""
"actiondesc_hitfx_oiled_freeze","Snarjad zamorožuje voroğiv pokrytyx naftoju","Makes a projectile freeze enemies drenched in oil","",""
"action_alcohol_shot","Alkoğoljnyj postril","Alcohol shot","",""
"actiondesc_alcohol_shot","Snarjad p'janytj voroğiv, v jakyx vlučaje","Makes a projectile get the enemies it hits drunk","",""
"action_freeze_if_wet_shooter","Mokryj zamorožuvač","Freeze if wet","",""
"actiondesc_freeze_if_wet_shooter","Jakŝo zaklynatelj mokryj, snarjad zamorožuje voroğiv pry popadanni","If caster is wet, makes a projectile freeze the enemies it hits","",""
"action_blindness","Slipota","Blindness","",""
"actiondesc_blindness","Ja ne možu bačyty!","I can't see!","",""
"action_teleportation","Teleportacija","Teleportation","",""
"actiondesc_teleportation","Zaklynannja, nakladeni porjad z cym, teleportujutj voroğiv","Spells cast alongside this will teleport enemies","",""
"action_telepathy","Telepatija","Telepathy","",""
"actiondesc_telepathy","Vy vidčuvajete inšyx istot čerez stiny","Sense other beings through walls","",""
"action_arc_electric","Elektryčna duğa","Electric Arc","",""
"action_arc_fire","Voğnjana duğa","Fire Arc","",""
"action_arc_gunpowder","Poroxova duğa","Gunpowder Arc","",""
"action_arc_poison","Otrujna duğa","Poison Arc","",""
"action_polymorph","Polimorfnyj zarjad","Polymorph charge","",""
"actiondesc_polymorph","Beeeee","Baaaaa","",""
"action_berserk","Ljutj","Berserk","",""
"actiondesc_berserk","Cilj vpadaje v stan dykoï ljuti ta atakuje vsix, xto znaxodytjsja poblyzu, i otrymuje 2-x kratnyj pryrist škody","Target enters a state of wild fury, attacking anyone nearby and getting a 2x damage boost","",""
"action_charm","Pryčaruvannja","Charm","",""
"actiondesc_charm","Cilj staje družnjoju do zaklynača","Target becomes friendly to the caster","",""
"action_x_ray","Vsevydjače oko","All-seeing eye","",""
"actiondesc_x_ray","Vy možete bačyty nedoslidžene. Ale ne vsjudy...","See into the unexplored. But not everywhere...","",""
"action_x_ray_modifier","Modyfikator rentğenivsjkoğo promenja","X-ray modifier","",""
"actiondesc_x_ray_modifier","Snarjad osvitljuje šljax u temrjavi","Projectile lights the way in the darkness","",""
"action_acid","Kyslota","Acid","",""
"actiondesc_acid","Snarjady peretvorjuutjsja na kyslotu pry zitknenni","Projectiles turn into acid on collision","",""
"action_unstable_gunpowder","Petardy","Firecrackers","",""
"action_acid_trail","Kyslotnyj slid","Acid trail","",""
"actiondesc_acid_trail","Nadaje snarjadu slid z kysloty","Gives a projectile a trail of acid","",""
"action_poison_trail","Otrujnyj slid","Poison trail","",""
"actiondesc_poison_trail","Nadaje snarjadu slid z otruty","Gives a projectile a trail of poison","",""
"action_oil_trail","Naftovyj slid","Oil trail","",""
"actiondesc_oil_trail","Nadaje snarjadu slid z nafty","Gives a projectile a trail of oil","",""
"action_water_trail","Vodjanyj slid","Water trail","",""
"actiondesc_water_trail","Nadaje snarjadu slid z vody","Gives a projectile a trail of water","",""
"action_blood_trail","Krov'janyj slid","Blood trail","",""
"actiondesc_blood_trail","Nadaje snarjadu slid z krovi","Gives a projectile a trail of blood","",""
"action_gunpowder_trail","Poroxovyj slid","Gunpowder trail","",""
"actiondesc_gunpowder_trail","Nadaje snarjadu slid z poroxu","Gives a projectile a trail of gunpowder","",""
"action_fire_trail","Voğnjanyj slid","Fire trail","",""
"actiondesc_fire_trail","Nadaje snarjadu voğnjanyj slid","Gives a projectile a trail of fiery particles","",""
"action_burn_trail","Žar slid","Burning trail","",""
"actiondesc_burn_trail","Nadaje snarjadu slid z voğnju","Gives a projectile a tail of fire","",""
"action_torch","Smoloskyp","Torch","",""
"actiondesc_torch","Zapaljuje vašu palyčku!","Lights your wand right up!","",""
"action_torch_electric","Elektryčnyj smoloskyp","Electric Torch","",""
"actiondesc_torch_electric","Nadaje vašij palyčci jaskrave, ale duže nebezpečne svitlo!","Gives your wand a bright but very dangerous light!","",""
"action_light","Osvitlennja","Light","",""
"actiondesc_light","Zmušuje snarjad osvitljuvaty otočennja","Makes a projectile illuminate its surroundings","",""
"action_energy_shield","Enerğetyčnyj ŝyt","Energy shield","",""
"actiondesc_energy_shield","Vidbyvaje snarjady, ŝo vdarjajutjsja ob njoğo","Deflects incoming projectiles","",""
"action_energy_shield_sector","Sektor enerğetyčnoğo ŝyta","Energy shield sector","",""
"actiondesc_energy_shield_sector","Vidbyvaje snarjady, ŝo vdarjajutjsja ob njoğo","Deflects incoming projectiles","",""
"action_duplicate_on_death","Dubljuvannja","Duplicate","",""
"actiondesc_duplicate_on_death","Snarjad klonuje sebe na 2 pry zitknenni","Projectile clones itself x2 on collision","",""
"action_bee","Bdžola","Bee","",""
"actiondesc_bee","Bdžola","Bee","",""
"action_duck","Kačka","Duck","",""
"actiondesc_duck","Kačka!","Duck!","",""
"action_sheep","Vivcja","Sheep","",""
"actiondesc_sheep","Vivcja!","Sheep!","",""
"action_misfire","Osička","Misfire","",""
"actiondesc_misfire","Skasovuje 1 zaklynannja","Discard 1 spell","",""
"action_misfire_critical","Osička (krytyčna)","Misfire (critical)","",""
"actiondesc_misfire_critical","Nazavždy znyŝuje 1 zaklynannja","Permanently destroy 1 spell","",""
"action_generate_random_deck_5","Zğeneruvaty vypadkovu kolodu (5)","Generate random deck (5)","",""
"actiondesc_generate_random_deck_5","Potočna koloda zaminytjsja na vypadkovu kolodu z 5 kart","Current deck is replaced with a random deck of 5 cards","",""
"action_testbullet","NALAĞODŽUVALJNA KULJA","DEBUG BULLET","",""
"actiondesc_testbullet","Slabkyj, ale čarivnyj iskrystyj snarjad","A weak but enchanting sparkling projectile","",""
"action_light_bullet","Iskrovyj bolt","Spark bolt","",""
"actiondesc_light_bullet","Slabkyj, ale čarivnyj iskrystyj snarjad","A weak but enchanting sparkling projectile","",""
"action_air_bullet","Potik povitrja","Burst of air","",""
"actiondesc_air_bullet","Syljnyj potik povitrja, ŝo zdatnyj syljno vidštovxuvaty ob'jekty ta voroğiv","A brittle burst of air capable of greatly pushing objects","",""
"action_light_bullet_trigger","Iskrovyj bolt z aktyvatorom","Spark bolt with trigger","",""
"actiondesc_light_bullet_trigger","Iskrovyj bolt, ŝo čakluje inše zaklynannja pry zitknenni","A spark bolt that casts another spell upon collision","",""
"action_light_bullet_trigger_2","Iskrovyj bolt z podvijnym aktyvatorom","Spark bolt with double trigger","",""
"actiondesc_light_bullet_trigger_2","Iskrovyj bolt, ŝo čakluje dva zaklynannja pry zitknenni","A spark bolt that casts two new spells upon collision","",""
"action_light_bullet_timer","Iskrovyj bolt z tajmerom","Spark bolt with timer","",""
"actiondesc_light_bullet_timer","Iskrovyj bolt, ŝo čakluje ŝe odne zaklynannja pislja zakinčennja tajmera","A spark bolt that casts another spell after a timer runs out","",""
"action_bullet","Mağična strila","Magic arrow","",""
"actiondesc_bullet","Zručna mağična strila","A handy magical arrow","",""
"action_bullet_trigger","Mağična strila z aktyvatorom","Magic arrow with trigger","",""
"actiondesc_bullet_trigger","Mağična strila, jaka pry zitknenni čakluje ŝe odne zaklynannja","A magical arrow that casts another spell upon collision","",""
"action_bullet_timer","Mağična strila z tajmerom","Magic arrow with timer","",""
"actiondesc_bullet_timer","Mağična strila, jaka čakluje ŝe odne zaklynannja pislja zakinčennja tajmera","A magical arrow that casts another spell after a timer runs out","",""
"action_heavy_bullet","Mağičnyj bolt","Magic bolt","",""
"actiondesc_heavy_bullet","Potužnyj mağičnyj bolt","A powerful magical bolt","",""
"action_heavy_bullet_trigger","Mağičnyj bolt z aktyvatorom","Magic bolt with trigger","",""
"actiondesc_heavy_bullet_trigger","Potužnyj mağičnyj bolt, jakyj pry zitknenni čakluje ŝe odne zaklynannja","A powerful magical bolt that casts another spell upon collision","",""
"action_heavy_bullet_timer","Mağičnyj bolt z tajmerom","Magic bolt with timer","",""
"actiondesc_heavy_bullet_timer","Potužnyj mağičnyj bolt, jakyj čakluje ŝe odne zaklynannja pislja zakinčennja tajmera","A powerful magical bolt that casts another spell after a timer runs out","",""
"action_slow_bullet","Enerğetyčna kulja","Energy orb","",""
"actiondesc_slow_bullet","Poviljna, ale potužna kulja enerğiï","A slow but powerful orb of energy","",""
"action_slow_bullet_trigger","Enerğetyčna kulja z aktyvatorom","Energy orb with a trigger","",""
"actiondesc_slow_bullet_trigger","Poviljna, ale potužna kulja enerğiï, jaka čakluje inše zaklynannja pry zitknenni","A slow but powerful orb of energy that casts another spell upon collision","",""
"action_slow_bullet_timer","Enerğetyčna kulja z tajmerom","Energy orb with a timer","",""
"action_black_hole","Čorna dira","Black hole","",""
"actiondesc_black_hole","Poviljna sfera porožneči, ŝo poğlynaje vse, čerez ŝo proxodytj","A slow orb of void that eats through all obstacles","",""
"action_black_hole_big","Veletensjka čorna dira","Giga black hole","",""
"actiondesc_black_hole_big","Sfera neğatyvnoï enerğiï, ŝo roste ta rujnuje vse, ŝo potrapljaje v ïï zonu dosjažnosti","A growing orb of negative energy that destroys everything in its reach","",""
"action_decoy","Prymanka","Decoy","",""
"actiondesc_decoy","Stvorjuje prymanku dlja vidvolikannja voroğiv","Creates a decoy for distracting enemies","",""
"action_decoy_trigger","Prymanka z aktyvatorom","Decoy with trigger","",""
"actiondesc_decoy_trigger","Stvorjuje prymanku dlja vidvolikannja voroğiv, jaka čakluje inše zaklynannja pislja zakinčennja tajmera","Creates a decoy for distracting enemies that casts another spell after a timer runs out","",""
"action_spitter","Bryzkobolt","Spitter bolt","",""
"actiondesc_spitter","Korotkočasnyj mağičnyj snarjad","A short-lived magical bolt","",""
"action_spitter_timer","Bryzkobolt z tajmerom","Spitter bolt with timer","",""
"actiondesc_spitter_timer","Korotkočasnyj mağičnyj snarjad, jakyj čakluje inše zakljattja pislja zakinčennja tajmera","A short-lived magical bolt that casts another spell after a timer runs out","",""
"action_bubbleshot","Buljbaškova iskra","Bubble spark","",""
"actiondesc_bubbleshot","Netočne zaklynannja z vidskokom","A bouncy, inaccurate spell","",""
"action_bubbleshot_trigger","Buljbaškova iskra z aktyvatorom","Bubble spark with trigger","",""
"actiondesc_bubbleshot_trigger","Netočne zaklynannja z vidskokom, jake čakluje ŝe odne zaklynannja pry zitknenni","A bouncy, inaccurate spell that casts another spell upon collision","",""
"action_disc_bullet","Sjuryken","Disc projectile","",""
"actiondesc_disc_bullet","Stvorjuje ğostryj sjuryken","Summons a sharp disc projectile","",""
"action_bouncy_orb","Enerğetyčna sfera","Energy sphere","",""
"actiondesc_bouncy_orb","Švydkyj duğovyj snarjad","A fast, arcing projectile","",""
"action_bouncy_orb_timer","Enerğetyčna sfera z tajmerom","Energy sphere with timer","",""
"action_rubber_ball","Plyğostryb","Bouncing burst","",""
"actiondesc_rubber_ball","Duže strybučyj snarjad","A very bouncy projectile","",""
"action_arrow","Strila","Arrow","",""
"actiondesc_arrow","Stvorjuje strilu","Summons an arrow","",""
"action_lance","Sjajučyj spys","Glowing lance","",""
"actiondesc_lance","Mağičnyj spys, jakyj rozrizaje m'jaki materialy","A magical lance that cuts through soft materials","",""
"action_rocket","Mağična raketa","Magic missile","",""
"actiondesc_rocket","Voğnjanyj, vybuxovyj snarjad","A fiery, explosive projectile","",""
"action_rocket_tier_2","Velyka mağična raketa","Large magic missile","",""
"actiondesc_rocket_tier_2","Potužniša versija mağičnoï rakety","A more powerful version of Magic missile","",""
"action_rocket_tier_3","Velyčezna mağična raketa","Giant magic missile","",""
"actiondesc_rocket_tier_3","Najpotužniša versija mağičnoï rakety","The most powerful version of Magic missile","",""
"action_grenade","Voğnebolt","Firebolt","",""
"actiondesc_grenade","Strybučyj vybuxovyj bolt","A bouncy, explosive bolt","",""
"action_grenade_tier_2","Velykyj voğnebolt","Large firebolt","",""
"actiondesc_grenade_tier_2","Potužniša versija voğnebolta","A more powerful version of Firebolt","",""
"action_grenade_tier_3","Velyčeznyj voğnebolt","Giant firebolt","",""
"actiondesc_grenade_tier_3","Najpotužniša versija voğnebolta","The most powerful version of Firebolt","",""
"action_grenade_trigger","Voğnebolt z aktyvatorom","Firebolt with trigger","",""
"actiondesc_grenade_trigger","Strybučyj vybuxovyj bolt, ŝo čakluje ŝe odne zaklynannja pry zitknenni","A bouncy, explosive bolt that that casts another spell upon collision","",""
"action_grenade_anti","Dyvnyj voğnebolt","Odd Firebolt","",""
"actiondesc_grenade_anti","Deŝo svojeridnyj strybučyj, vybuxovyj snarjad","A somewhat peculiar bouncy, explosive bolt","",""
"action_grenade_large","Važkyj voğnebolt","Dropper bolt","",""
"actiondesc_grenade_large","Duže važkyj vybuxovyj snarjad","A very heavy explosive bolt","",""
"action_mine","Nestabiljnyj krystal","Unstable crystal","",""
"actiondesc_mine","Krystal, ŝo vybuxaje koly xtosj proxodytj nepodalik","A crystal that explodes when someone comes nearby","",""
"action_mine_death_trigger","Nestabiljnyj krystal z aktyvatorom","Unstable crystal with trigger","",""
"actiondesc_mine_death_trigger","Krystal, ŝo vybuxaje ta čakluje inše zaklynannja koly xtosj proxodytj nepodalik","A crystal that explodes and casts another spell when someone comes nearby","",""
"action_pipe_bomb","Spljačyj krystal","Dormant crystal","",""
"actiondesc_pipe_bomb","Krystal, ŝo vybuxaje koly potrapljaje do vybuxu","A crystal that explodes when caught in an explosion","",""
"action_pipe_bomb_death_trigger","Spljačyj krystal z aktyvatorom","Dormant crystal with trigger","",""
"actiondesc_pipe_bomb_death_trigger","Krystal, jakyj vybuxaje i čakluje inše zakljattja, koly potrapljaje do vybuxu","A crystal that explodes and casts another spell when caught in an explosion","",""
"action_exploding_deer","Stvorennja olenemanky","Summon deercoy","",""
"actiondesc_exploding_deer","Stvorjuje, zdavalosj by, nevynnoğo olenja","Summons a seemingly-innocuous deer","",""
"action_pipe_bomb_detonator","Detonacija spljačoğo krystalu","Dormant crystal detonation","",""
"actiondesc_pipe_bomb_detonator","Usi spljači krystaly nepodalik vybuxajutj","All nearby dormant crystals explode","",""
"action_laser","Koncentrovane svitlo","Concentrated light","",""
"actiondesc_laser","Točkovyj prominj svitla","A pinpointed beam of light","",""
"action_lightning","Blyskavka","Lightning bolt","",""
"actiondesc_lightning","Pervisna syla pryrody","The primordial force of nature","",""
"action_digger","Ğirnyčyj zğustok enerğiï","Digging bolt","",""
"actiondesc_digger","Idealjnyj dlja ğirnyčyx operacij zğustok enerğiï","A bolt that is ideal for mining operations","",""
"action_powerdigger","Ğirnyčyj vybux","Digging blast","",""
"actiondesc_powerdigger","Potužniše ğirnyče zaklynannja","More powerful digging","",""
"action_chainsaw","Benzopyla","Chainsaw","",""
"action_tentacle","Vyklyk macakiv","Summon Tentacle","",""
"actiondesc_tentacle","Vyklykaje straxitlyvu kincivku z inšoğo vymiru","Calls a terrifying appendage from another dimension","",""
"action_tentacle_timer","Vyklyk macaka z tajmerom","Summon Tentacle with timer","",""
"actiondesc_tentacle_timer","Vyklykaje straxitlyvu kincivku z inšoğo vymiru! Tajmer v komplekti","Calls a terrifying appendage from another dimension! Comes with a timer","",""
"action_heal_bullet","Ciljuŝyj snarjad","Healing bolt","",""
"action_spiral_shot","Spiraljnyj postril","Spiral shot","",""
"actiondesc_spiral_shot","Mistyčnyj vyxor čarivnyx iskor","A mystical whirlwind of magic sparks","",""
"action_fireball","Voğnekulja","Fireball","",""
"actiondesc_fireball","Potužne vybuxove zaklynannja","A powerful exploding spell","",""
"action_meteor","Meteoryt","Meteor","",""
"actiondesc_meteor","Rujnivnyj snarjad z nebes!","A destructive projectile from the skies!","",""
"action_flamethrower","Voğnemet","Flamethrower","",""
"actiondesc_flamethrower","Potik voğnju!!","A stream of fire!!","",""
"action_icethrower","Ljodomet","Icethrower","",""
"actiondesc_icethrower","Potik ljodu!!","A stream of ice!!","",""
"action_slimeball","Slyzova kulja","Slimeball","",""
"actiondesc_slimeball","Kulja otrujnoğo slyzu. Nepoğano kopaje m'jaki porody","A dripping ball of poisonous slime","",""
"action_darkflame","Šljax temnoğo polum'ja","Path of dark flame","",""
"actiondesc_darkflame","Doroğa temnoğo, smertonosnoğo voğnju","A trail of dark, deadly flames","",""
"action_missile","Vyklyk rakety","Summon missile","",""
"actiondesc_missile","Šanovni ğosti, doroğa rodyno povitrjana tryvoğa, projditj v ukryttja!","A missile!!!","",""
"action_pebble","Vyklyk kam’janoğo duxa","Summon rock spirit","",""
"actiondesc_pebble","Vyklykaje samostijnoğo kam’janoğo sojuznyka","Summons an autonomous rock ally","",""
"action_dynamite","Dynamit","Dynamite","",""
"actiondesc_dynamite","Kydaje malenjkyj dynamit","Summons a small explosive","",""
"action_bomb_legacy","Bomba","Bomb","",""
"actiondesc_bomb_legacy","Kydaje bombu, ŝo duže efektyvno znyŝuje zemlju","Summons a bomb that destroys ground very efficiently","",""
"action_bomb","Bomba","Bomb","",""
"actiondesc_bomb","Kydaje bombu, jaka duže efektyvno rujnuje zemlju","Summons a bomb that destroys ground very efficiently","",""
"action_bomb_holy","Svjata bomba","Holy Bomb","",""
"actiondesc_bomb_holy","Stvorjuje bombu, ŝo... nu, vy znajete...","Summons a bomb that... well...","",""
"action_knife","Metaljnyj niž","Throwing Knife","",""
"actiondesc_knife","Duže smertonosnyj!","Very deadly!","",""
"action_crumbling_earth","Zemletrus","Earthquake","",""
"actiondesc_crumbling_earth","Vyklykaje ğniv zemli","Calls the anger of the earth","",""
"action_circleshot_a","Kruğovyj postril","Circle shot","",""
"actiondesc_circleshot_a","Snarjady letjatj po kruğovij trajektoriï","Projectiles fly out in a circular pattern","",""
"action_circleshot_b","Spiraljnyj postril","Spiral shot","",""
"actiondesc_circleshot_b","Snarjady letjatj po spirali","Projectiles fly out in a spiral pattern","",""
"action_acidshot","Kyslotna kulja","Acid ball","",""
"actiondesc_acidshot","Žaxlyvyj kyslotnyj snarjad","A terrifying acidic projectile","",""
"action_thunderball","Ğromovyj zarjad","Thunder charge","",""
"actiondesc_thunderball","Snarjad z nejmovirnoju kiljkistju nakopyčenoï enerğiï","A projectile with immense stored electricity","",""
"action_bloomshot","Duğa slyzu","Slime arc","",""
"actiondesc_bloomshot","Zaklynannja, vykorystani razom z cym, budutj maty duğu zi slyzu miž nymy","Spells cast alongside this will have arcs of slime flowing between them","",""
"action_icecircle","Ljodjane kolo","Ice circle","",""
"actiondesc_icecircle","Striljaje kryžanymy snarjadamy po kolu","Shoots icy projectiles in a circle","",""
"action_firebomb","Voğnjana bomba","Firebomb","",""
"actiondesc_firebomb","Poviljnyj voğnjanyj snarjad","Slow, fiery bolt","",""
"action_soilball","Šmatok gruntu","Chunk of soil","",""
"actiondesc_soilball","Ne zakopajte sebe!","Don't soil yourself","",""
"action_pink_orb","Samonavidna sfera","Homing orb","",""
"actiondesc_pink_orb","Nebezpečna samonavidna sfera","A dangerous, homing orb","",""
"action_death_cross","Xrest smerti","Death cross","",""
"actiondesc_death_cross","Smertonosnyj enerğetyčnyj xrest, jakyj vybuxaje čerez korotkyj čas","A deadly energy cross that explodes after a short time","",""
"action_plasma_flare","Spalax plazmy","Plasma flare","",""
"actiondesc_plasma_flare","Mağičnyj snarjad, ŝo švydko rozğanjajetjsja","A magical projectile that accelerates quickly","",""
"action_keyshot","Ključovyj postril","Key shot","",""
"actiondesc_keyshot","Potužnyj snarjad. Ničoğo nezvyčajnoğo","A powerful projectile. Nothing out of ordinary","",""
"action_mana","Mana","Mana","",""
"actiondesc_mana","Dodatkova mana","Extra mana","",""
"action_skull","Čerep","Skull","",""
"actiondesc_skull","Strašnyj čerep!!!","Scary skull!!!","",""
"action_material_debug","Striljaje nalağodžuvaljnym materialom","shoots debug material","",""
"actiondesc_material_debug","VYKORYSTOVUVATY TILJKY V REŽYMI NALAĞODŽENNJA!","ONLY TO BE USED IN DEBUG MODE!","",""
"action_material_liquid","Striljaje ridynoju","shoots liquid","",""
"actiondesc_material_liquid","Kynjte joğo v ridynu ta striljajte!","Drop it in liquid and shoot it!","",""
"action_mist_radioactive","Toksyčnyj tuman","Toxic mist","",""
"actiondesc_mist_radioactive","Xmara toksyčnoğo tumanu","A cloud of toxic mist","",""
"action_mist_alcohol","Tuman duxiv","mist of spirits","",""
"actiondesc_mist_alcohol","Xmara micnoğo alkoğolju","A cloud of potent alcohol","",""
"action_mist_slime","Slyzystyj tuman","Slime mist","",""
"actiondesc_mist_slime","Xmara slyzystoğo tumanu","A cloud of slimy mist","",""
"action_mist_blood","Kryvavyj tuman","Blood mist","",""
"actiondesc_mist_blood","Xmara kryvavoğo tumanu","A cloud of blood mist","",""
"action_circle_fire","Kolo voğnju","Circle of fire","",""
"actiondesc_circle_fire","Kolo voğnju, ŝo rozšyrjujetjsja","An expanding circle of burning air","",""
"action_circle_acid","Kolo kysloty","Circle of acid","",""
"actiondesc_circle_acid","Kolo ïdkoï kysloty, ŝo rozšyrjujetjsja","An expanding circle of dripping acid","",""
"action_circle_oil","Kolo nafty","Circle of oil","",""
"actiondesc_circle_oil","Kolo slyzjkoï nafty, ŝo rozšyrjujetjsja","An expanding circle of slick oil","",""
"action_circle_water","Kolo vody","Circle of water","",""
"actiondesc_circle_water","Kolo vody, ŝo rozšyrjujetjsja","An expanding circle of water","",""
"action_material_water","Voda","Water","",""
"actiondesc_material_water","Stvorjuje krapli vody z ničoğo","Transmute drops of water from nothing","",""
"action_material_oil","Nafta","Oil","",""
"actiondesc_material_oil","Stvorjuje krapli nafty z ničoğo","Transmute drops of oil from nothing","",""
"action_material_blood","Krov","Blood","",""
"actiondesc_material_blood","Krov, krov, krov!","Blood blood blood","",""
"action_material_acid","Kyslota","Acid","",""
"actiondesc_material_acid","Stvorjuje krapli kysloty z ničoğo","Transmute drops of acid from nothing","",""
"action_material_cement","Cement","Cement","",""
"actiondesc_material_cement","Stvorjuje krapli voloğoğo cementu z ničoğo","Transmute drops of wet cement from nothing","",""
"action_material_lava","Lava","Lava","",""
"actiondesc_material_lava","Stvorjuje zğustky lavy z ničoğo","Transmute globs of lava from nothing","",""
"action_material_gunpowder_explosive","Vybuxovyj porox","Explosive gunpowder","",""
"actiondesc_material_gunpowder_explosive","Stvorjuje piŝynky poroxu z ničoğo","Transmute grains of gunpowder from nothing","",""
