"","ukr","en","","","NOTES – use \n for newline","max length"
"action_rocket_tier_2","Велика магічна ракета","Large magic missile","","","",""
"actiondesc_rocket_tier_2","Потужніша версія магічної ракети","A more powerful version of Magic missile","","","",""
"action_rocket_tier_3","Гігантська магічна ракета","Giant magic missile","","","",""
"actiondesc_rocket_tier_3","Найпотужніше версія магічної ракети","The most powerful version of Magic missile","","","",""
"action_grenade","Вогняний болт","Firebolt","","","",""
"actiondesc_grenade","Вибуховий болт, що відскакує від поверхонь","A bouncy, explosive bolt","","","",""
"action_grenade_tier_2","Великий вогняний болт","Large firebolt","","","",""
"actiondesc_grenade_tier_2","Потужніша версія вогняного болта","A more powerful version of Firebolt","","","",""
"action_grenade_tier_3","Гігантський вогняний болт","Giant firebolt","","","",""
"actiondesc_grenade_tier_3","Найпотужніша версія вогняного болта","The most powerful version of Firebolt","","","",""
"action_grenade_trigger","Вогняний болт з активатором","Firebolt with trigger","","","",""
"actiondesc_grenade_trigger","Вибуховий болт, що відскакує від поверхонь та чаклує ще одне заклинання при зіткненні","A bouncy, explosive bolt that that casts another spell upon collision","","","",""
"action_grenade_anti","Дивний вогняний снаряд","Odd Firebolt","","","",""
"actiondesc_grenade_anti","Дещо своєрідний стрибучий, вибуховий снаряд","A somewhat peculiar bouncy, explosive bolt","","","",""
"action_grenade_large","Dropper bolt","Dropper bolt","","","",""
"actiondesc_grenade_large","Дуже тяжкий вибуховий снаряд","A very heavy explosive bolt","","","",""
"action_mine","Нестабільний кристал","Unstable crystal","","","",""
"actiondesc_mine","Кристал, який вибухає, коли хтось наближається до нього","A crystal that explodes when someone comes nearby","","","",""
"action_mine_death_trigger","Нестабільний кристал з активатором","Unstable crystal with trigger","","","",""
"actiondesc_mine_death_trigger","Кристал, який вибухає і чаклує інше заклинання, коли хтось наближається до нього","A crystal that explodes and casts another spell when someone comes nearby","","","",""
"action_pipe_bomb","Сплячий кристал","Dormant crystal","","","",""
"actiondesc_pipe_bomb","Кристал, що вибухає коли потрапляє до вибуху","A crystal that explodes when caught in an explosion","","","",""
"action_pipe_bomb_death_trigger","Сплячий кристал з активатором","Dormant crystal with trigger","","","",""
"actiondesc_pipe_bomb_death_trigger","Кристал, який вибухає і чаклує інше закляття, коли потрапляє до вибуху","A crystal that explodes and casts another spell when caught in an explosion","","","",""
"action_exploding_deer","Створення оленеманки","Summon deercoy","","","",""
"actiondesc_exploding_deer","Створює, здавалось би, невинного оленя","Summons a seemingly-innocuous deer","","","",""
"action_pipe_bomb_detonator","Сплячий кристал детонації","Dormant crystal detonation","","","",""
"actiondesc_pipe_bomb_detonator","Усі сплячи кристали поряд вибухають","All nearby dormant crystals explode","","","",""
"action_laser","Концентроване світло","Concentrated light","","","",""
"actiondesc_laser","Точний промінь світла","A pinpointed beam of light","","","",""
"action_lightning","Блискавка","Lightning bolt","","","",""
"actiondesc_lightning","Первісна сила природи","The primordial force of nature","","","",""
"action_digger","Гірничий згусток енергії","Digging bolt","","","",""
"actiondesc_digger","Ідеальний для гірничих операцій згусток енергії","A bolt that is ideal for mining operations","","","",""
"action_powerdigger","Гірничий вибух","Digging blast","","","",""
"actiondesc_powerdigger","Більш потужне копання","More powerful digging","","","",""
"action_chainsaw","Бензопила","Chainsaw","","","",""
"action_tentacle","Виклик щупалець","Summon Tentacle","","","",""
"actiondesc_tentacle","Викликає страхітливий придаток з іншого виміру","Calls a terrifying appendage from another dimension","","","",""
"action_tentacle_timer","Виклик щупалець з таймером","Summon Tentacle with timer","","","",""
"actiondesc_tentacle_timer","Викликає страхітливий придаток з іншого виміру! Поставляється з таймером","Calls a terrifying appendage from another dimension! Comes with a timer","","","",""
"action_heal_bullet","Цілющий болт","Healing bolt","","","",""
"action_spiral_shot","Спіральний постріл","Spiral shot","","","",""
"actiondesc_spiral_shot","Містичний вихор чарівних іскор","A mystical whirlwind of magic sparks","","","",""
"action_fireball","Вогнекуля","Fireball","","","",""
"actiondesc_fireball","Потужне вибухове заклинання","A powerful exploding spell","","","",""
"action_meteor","Метеорит","Meteor","","","",""
"actiondesc_meteor","Руйнівний снаряд з неба!","A destructive projectile from the skies!","","","",""
"action_flamethrower","Вогнемет","Flamethrower","","","",""
"actiondesc_flamethrower","Потік вогню!!","A stream of fire!!","","","",""
"action_icethrower","Льодомет","Icethrower","","","",""
"actiondesc_icethrower","Потіл льоду!!","A stream of ice!!","","","",""
"action_slimeball","Слизова куля","Slimeball","","","",""
"actiondesc_slimeball","Куля отруйного слизу. Непогано копає м'які породи","A dripping ball of poisonous slime","","","",""
"action_darkflame","Шлях темного полум'я","Path of dark flame","","","",""
"actiondesc_darkflame","Дорога темного, смертоносного вогню","A trail of dark, deadly flames","","","",""
"action_missile","Створити ракету","Summon missile","","","",""
"actiondesc_missile","Шановні гості, дорога родино повітряна тривога, пройдіть в укриття!","A missile!!!","","","",""
"action_pebble","Виклик привида каменя","Summon rock spirit","","","",""
"actiondesc_pebble","Викликає автономного кам'яного союзника","Summons an autonomous rock ally","","","",""
"action_dynamite","Динаміт","Dynamite","","","",""
"actiondesc_dynamite","Створює маленький динаміт","Summons a small explosive","","","",""
"action_bomb_legacy","Бомба","Bomb","","","",""
"actiondesc_bomb_legacy","Створює бомбу, яка дуже ефективно руйнує землю","Summons a bomb that destroys ground very efficiently","","","",""
"action_bomb","Бомба","Bomb","","","",""
"actiondesc_bomb","Створює бомбу, яка дуже ефективно руйнує землю","Summons a bomb that destroys ground very efficiently","","","",""
"action_bomb_holy","Священна бомба","Holy Bomb","","","",""
"actiondesc_bomb_holy","Створює бомбу, що... ну, ви знаєте...","Summons a bomb that... well...","","","",""
"action_knife","Метальний ніж","Throwing Knife","","","",""
"actiondesc_knife","Дуже смертельно!","Very deadly!","","","",""
"action_crumbling_earth","Землетрус","Earthquake","","","",""
"actiondesc_crumbling_earth","Викликає гнів землі","Calls the anger of the earth","","","",""
"action_circleshot_a","Круговий постріл","Circle shot","","","",""
"actiondesc_circleshot_a","Снаряди летять за круговим шаблоном","Projectiles fly out in a circular pattern","","","",""
"action_circleshot_b","Спіральний постріл","Spiral shot","","","",""
"actiondesc_circleshot_b","Снаряди летять по спіралі","Projectiles fly out in a spiral pattern","","","",""
"action_acidshot","Кислотна куля","Acid ball","","","",""
"actiondesc_acidshot","Жахливий кислотний снаряд","A terrifying acidic projectile","","","",""
"action_thunderball","Громовий заряд","Thunder charge","","","",""
"actiondesc_thunderball","Снаряд з колосальною накопиченою електроенергією","A projectile with immense stored electricity","","","",""
"action_bloomshot","Дуга слизу","Slime arc","","","",""
"actiondesc_bloomshot","Заклинання, використані разом зі цим, будуть мати дугу зі слизу між ними","Spells cast alongside this will have arcs of slime flowing between them","","","",""
"action_icecircle","Коло льоду","Ice circle","","","",""
"actiondesc_icecircle","Вистрілює крижані снаряди в колі","Shoots icy projectiles in a circle","","","",""
"action_firebomb","Вогняна бомба","Firebomb","","","",""
"actiondesc_firebomb","Повільний вогняний снаряд","Slow, fiery bolt","","","",""
"action_soilball","Купа ґрунту","Chunk of soil","","","",""
"actiondesc_soilball","Не закопайте себе!","Don't soil yourself","","","",""
"action_pink_orb","Самонавідна сфера","Homing orb","","","",""
"actiondesc_pink_orb","Небезпечна, самонавідна сфера","A dangerous, homing orb","","","",""
"action_death_cross","Смертельний хрест","Death cross","","","",""
"actiondesc_death_cross","Смертоносний енергетичний хрест, який вибухає через короткий час","A deadly energy cross that explodes after a short time","","","",""
"action_plasma_flare","Спалах плазми","Plasma flare","","","",""
"actiondesc_plasma_flare","Магічний снаряд, що швидко прискорюється","A magical projectile that accelerates quickly","","","",""
"action_keyshot","Ключовий постріл","Key shot","","","",""
"actiondesc_keyshot","Потужний снаряд. Нічого незвичайного","A powerful projectile. Nothing out of ordinary","","","",""
"action_mana","Мана","Mana","","","",""
"actiondesc_mana","Додаткова мана","Extra mana","","","",""
"action_skull","Череп","Skull","","","",""
"actiondesc_skull","Страшний череп!!!","Scary skull!!!","","","",""
"action_material_debug","стріляє матеріали для відладки","shoots debug material","","","",""
"actiondesc_material_debug","ВИКОРИСТОВУВАТИ ТІЛЬКИ В РЕЖИМІ НАЛАГОДЖЕННЯ!","ONLY TO BE USED IN DEBUG MODE!","","","",""
"action_material_liquid","стріляє рідиною","shoots liquid","","","",""
"actiondesc_material_liquid","Киньте його в рідину та стріляйте!","Drop it in liquid and shoot it!","","","",""
"action_mist_radioactive","Токсичний туман","Toxic mist","","","",""
"actiondesc_mist_radioactive","Хмара токсичного туману","A cloud of toxic mist","","","",""
"action_mist_alcohol","Туман духів","mist of spirits","","","",""
"actiondesc_mist_alcohol","Хмара потужного алкоголю","A cloud of potent alcohol","","","",""
"action_mist_slime","Туман слизу","Slime mist","","","",""
"actiondesc_mist_slime","Хмара слизового туману","A cloud of slimy mist","","","",""
"action_mist_blood","Кров'яний туман","Blood mist","","","",""
"actiondesc_mist_blood","Хмара кров'яного туману","A cloud of blood mist","","","",""
"action_circle_fire","Коло вогню","Circle of fire","","","",""
"actiondesc_circle_fire","Коло палаючого повітря, що розширюється","An expanding circle of burning air","","","",""
"action_circle_acid","Коло кислоти","Circle of acid","","","",""
"actiondesc_circle_acid","Коло їдкої кислоти, що розширюється","An expanding circle of dripping acid","","","",""
"action_circle_oil","Коло нафти","Circle of oil","","","",""
"actiondesc_circle_oil","Коло слизької нафти, що розширюється","An expanding circle of slick oil","","","",""
"action_circle_water","Коло води","Circle of water","","","",""
"actiondesc_circle_water","Коло води, що розширюється","An expanding circle of water","","","",""
"action_material_water","Вода","Water","","","",""
"actiondesc_material_water","Створює краплі води з нічого","Transmute drops of water from nothing","","","",""
"action_material_oil","Нафта","Oil","","","",""
"actiondesc_material_oil","Створює краплі нафти з нічого","Transmute drops of oil from nothing","","","",""
"action_material_blood","Кров","Blood","","","",""
"actiondesc_material_blood","Кров, кров, кров!","Blood blood blood","","","",""
"action_material_acid","Кислота","Acid","","","",""
"actiondesc_material_acid","Створює кислоту з нічого","Transmute drops of acid from nothing","","","",""
"action_material_cement","Цемент","Cement","","","",""
"actiondesc_material_cement","Створює краплі вологого цементу з нічого","Transmute drops of wet cement from nothing","","","",""
"action_material_lava","Лава","Lava","","","",""
"actiondesc_material_lava","Створює згустки лави з нічого","Transmute globs of lava from nothing","","","",""
"action_material_gunpowder_explosive","Вибуховий порох","Explosive gunpowder","","","",""
"actiondesc_material_gunpowder_explosive","Створює піщинки пороху з нічого","Transmute grains of gunpowder from nothing","","","",""
"action_material_dirt","Земля","Dirt","","","",""
"actiondesc_material_dirt","Створює піщинки землі з нічого","Transmute grains of dirt from nothing","","","",""
"action_building_board_wood","Дерев'яна форма","Wooden mold","","","doesn't need to be translated",""
"actiondesc_building_board_wood","Useful for cement construction. REQUIRES SOLAR POWER TO RECHARGE.","Useful for cement construction. REQUIRES SOLAR POWER TO RECHARGE.","","","doesn't need to be translated",""
"action_building_back_wall_rock","Back wall (rock)","Back wall (rock)","","","doesn't need to be translated",""
"actiondesc_building_back_wall_rock","Provides structural support. REQUIRES SOLAR POWER TO RECHARGE.","Provides structural support. REQUIRES SOLAR POWER TO RECHARGE.","","","doesn't need to be translated",""
"action_building_pressure_plate","Натискна пластина","Pressure plate","","","doesn't need to be translated",""
"actiondesc_building_pressure_plate","TODO","TODO","","","doesn't need to be translated",""
"action_building_physics_templedoor","Двері храму","Temple door","","","doesn't need to be translated",""
"actiondesc_building_physics_templedoor","TODO","TODO","","","doesn't need to be translated",""
"action_teleport_projectile","Телепортаційний снаряд","Teleport bolt","","","",""
"actiondesc_teleport_projectile","Магічний болт, який переносить вас, куди б він не полетів","A magical bolt that moves you wherever it ends up flying","","","",""
"action_teleport_home","Телепортація додому","Teleport home","","","",""
"actiondesc_teleport_home","Створює портал на поверхню, який можна використовувати по одному разу в кожному напрямку","Creates a portal to the surface that can be used once per each direction","","","",""
"action_levitation_projectile","LEVITATION projectile","LEVITATION projectile","","","",""
"actiondesc_levitation_projectile","Levitation stuff","Levitation stuff","","","",""
"action_nuke","Ядерна бомба","Nuke","","","",""
"actiondesc_nuke","В укриття!","Take cover!","","","",""
"action_high_explosive","Вибухівка","TNT","","","",""
"actiondesc_high_explosive","Надзвичайно потужний вибуховий снаряд","Extremely powerful explosive projectile","","","",""
"action_drone","Дрон","Drone","","","",""
"actiondesc_drone","Більш потужне копання","More powerful digging","","","",""
"action_baab_is","IS","IS","","","doesn't need to be translated",""
"actiondesc_baab_is","","","","","doesn't need to be translated",""
"action_baab_all","ВСЕ","ALL","","","doesn't need to be translated",""
"actiondesc_baab_all","","","","","doesn't need to be translated",""
"action_baab_empty","ВСЕ","ALL","","","doesn't need to be translated",""
"actiondesc_baab_empty","","","","","doesn't need to be translated",""
"action_baab_lava","ЛАВА","LAVA","","","doesn't need to be translated",""
"actiondesc_baab_lava","","","","","doesn't need to be translated",""
"action_baab_water","ВОДА","WATER","","","doesn't need to be translated",""
"actiondesc_baab_water","","","","","doesn't need to be translated",""
"action_baab_poop","ЛАЙНО","POOP","","","doesn't need to be translated",""
"actiondesc_baab_poop","","","","","doesn't need to be translated",""
"action_baab_love","ЛЮБОВ","LOVE","","","doesn't need to be translated",""
"actiondesc_baab_love","","","","","doesn't need to be translated",""
"action_firework","Феєрверки!","Fireworks!","","","",""
"actiondesc_firework","Вогняний вибуховий снаряд","A fiery, explosive projectile","","","",""
"projectile_default","снаряд","projectile","","","",""
"perk_critical_hit","Критичний удар +","Critical Hit +","","","",""
"perkdesc_critical_hit","Ви завдаєте більше критичних ударів","You get more critical hits","","","",""
"perk_breath_underwater","Підводне дихання","Breathless","","","",""
"perkdesc_breath_underwater","Ви не задихаєтеся при зануренні.","You won't drown when submerged.","","","",""
"perk_extra_money","Жадібність","Greed","","","",""
"perkdesc_extra_money","Ви отримуєте подвійне золото з самородків.","You gain double the gold per nugget.","","","",""
"perk_extra_money_trick_kill","Жадібний трюк","Trick Greed","","","",""
"perkdesc_extra_money_trick_kill","4x замість 2x золота падає, коли смерть є нещасним випадком.","4x instead of 2x gold is dropped when death is an accident.","","","",""
"perk_hover_boost","Сильна левітація","Strong Levitation","","","",""
"perkdesc_hover_boost","Ви можете літати на 100% довше.","You can fly 100% longer.","","","",""
"perk_movement_faster","Швидший рух","Faster Movement","","","",""
"perkdesc_movement_faster","Швидкість руху збільшена.","Your movement speed is increased.","","","",""
"perk_repelling_cape","Відштовхувальна накидка","Repelling Cape","","","",""
"perkdesc_repelling_cape","Швидке очищення плям під час руху.","Stains drop at a fast rate (when moving).","","","",""
"perk_exploding_corpses","Вибухові трупи","Exploding Corpses","","","",""
"perkdesc_exploding_corpses","Вороги вибухають при смерті.","Enemies explode upon death.","","","",""
"perk_saving_grace","Рятівна благодать","Saving Grace","","","",""
"perkdesc_saving_grace","Якщо ви помрете зі понад 1 ОЗ, то замість смерті ваше здоров'я встановиться на 1.","If you would die and have more than 1 HP, your HP is set to 1 instead.","","","",""
"perk_invisibility","Невидимість","Invisibility","","","",""
"perkdesc_invisibility","Ви невидимі. Плями, заклинання, копняки та пошкодження роблять вас тимчасово видимими.","You're invisible. Stains, casting spells, kicking and taking damage makes you temporarily visible.","","","",""
"perk_global_gore","Більше крові","More Blood","","","",""
"perkdesc_global_gore","Кров, кров, кров!","Blood blood blood.","","","",""
"perk_no_damage_flash","No Damage Flash","No Damage Flash","","","",""
"perkdesc_no_damage_flash","Pain is inevitable, but damage flash is optional.","Pain is inevitable, but damage flash is optional.","","","",""
"perk_reverse_slowdown","Слизький слиз","Slicky Slime","","","",""
"perkdesc_reverse_slowdown","Замість сповільнення, слиз дозволяє вам рухатися швидше.","Instead of slowing you down, slime allows you to move faster.","","","",""
"perk_extra_hp","Додаткове здоров’я","Extra Health","","","",""
"perkdesc_extra_hp","Ви отримуєте 50% додаткового максимального здоров’я.","You gain 50% extra maximum health.","","","",""
"perk_glass_cannon","Скляна гармата","Glass Cannon","","","",""
"perkdesc_glass_cannon","Ваші заклинання завдають 5-кратну шкоду і мають більшу дальність дії, але ваше максимальне здоров'я обмежене до 50.","Your spells deal 5x damage and have larger blast ranges, but your maximum health is capped to 50.","","","",""
"perk_respawn","Додаткове життя (Одноразово)","Extra Life (One-off)","","","",""
"perkdesc_respawn","При смерті ви відродитеся зі 100 здоров'я.","Upon death you respawn with 100 health.","","","",""
"perk_protection_fire","Імунітет до вогню","Fire Immunity","","","",""
"perkdesc_protection_fire","Ви не отримуєте шкоди від вогню.","You take no damage from fire.","","","",""
"perk_protection_radioactivity","Імунітет до токсичного осаду","Toxic Sludge Immunity","","","",""
"perkdesc_protection_radioactivity","Ви не отримуєте шкоди від токсичного осаду.","You take no damage from toxic sludge.","","","",""
"perk_protection_explosion","Імунітет до вибухів","Explosion Immunity","","","",""
"perkdesc_protection_explosion","Ви не отримуєте шкоди від вибухів.","You take no direct damage from explosions.","","","",""
"perk_protection_melee","Імунітет до ближнього бою","Melee Immunity","","","",""
"perkdesc_protection_melee","Ви не отримуєте шкоди від атак ближнього бою.","You take no damage from close-range enemy attacks.","","","",""
"perk_protection_electricity","Імунітет до електрики","Electricity Immunity","","","",""
"perkdesc_protection_electricity","Ви не отримуєте шкоди від електричних розрядів.","You take no damage from electric shocks.","","","",""
"perk_teleportitis","Телепортозис","Teleportitis","","","",""
"perkdesc_teleportitis","Ви отримуєте на 20% менше шкоди, але ви телепортуєтеся геть, кожного разу, коли отримуєте шкоду.","You take 20% less damage. You teleport away every time you're hurt.","","","",""
"perk_stainless_armour","Нержавіюча броня","Stainless Armour","","","",""
"perkdesc_stainless_armour","Ви отримуєте на 50% менше шкоди, до поки ви не забруднені.","You take 50% less damage as long as you have no active stain status effect.","","","",""
"perk_edit_wands_everywhere","Редагування без кордонів","Tinker With Wands Everywhere","","","",""
"perkdesc_edit_wands_everywhere","Божественне благословення дозволяє вам редагувати палички будь-де.","A divine blessing allows you to tinker with wands everywhere.","","","",""
"perk_projectile_homing","Самонавідні вистріли","Homing Shots","","","",""
"perkdesc_projectile_homing","Ваші заклинання зовсім трохи наводяться на ворогів.","Your spells home towards enemies very slightly.","","","",""
"perk_freeze_field","Морозне поле","Freeze Field","","","",""
"perkdesc_freeze_field","Рідини замерзають у вашій присутності.","Liquids freeze in your presence.","","","",""
"perk_dissolve_powders","Розчинення порошків","Dissolve Powders","","","",""
"perkdesc_dissolve_powders","Пісок та інші м'які, сипучі матеріали швидко зникають у вашій присутності.","Sand and other soft, powdery materials dissolve quickly in your presence.","","","",""
"perk_bleed_slime","Кров зі слизу","Slime Blood","","","",""
"perk_shield","Постійний щит","Permanent Shield","","","",""
"perkdesc_shield","Ви отримуєте невеликий постійний щит.","You gain a small, permanent shield.","","","",""
"perk_revenge_explosion","Вибух помсти","Revenge Explosion","","","",""
"perkdesc_revenge_explosion","Коли ви отримуєте шкоду, ви випускаєте магічний вибух, який завдає шкоди ворогам навколо вас.","When you take damage, you release a magical explosion that hurts enemies around you.","","","",""
"perk_electricity","Наелектризованість","Electricity","","","",""
"perkdesc_electricity","У вас імунітет до електричної шкоди, але метали та рідини навколо вас постійно електрифікуються. Будьте обережними!","You're immune to electric damage, but metal and liquids around you electrify constantly. Look out!","","","",""
"perk_mystery_eggplant","Таємничі баклажани","Mystery Eggplant","","","",""
"perkdesc_mystery_eggplant","Його легко розбити.","It breaks easily.","","","",""
"perk_double_hp","Подвійне здоров'я, без регенерації","Double Health, No Regeneration","","","",""
"perkdesc_double_hp","Ваше максимальне ОЗ подвоюється, але ви отримуєте на 20% більше пошкоджень від снарядів.","Your maximum HP is doubled, but you take 20% more damage from projectiles.","","","",""
"perk_berserk","Берсерк","Berserk","","","",""
"perkdesc_berserk","Чим менше ОЗ ви маєте, тим більше шкоди завдають ваші заклинання, до +300% додаткової шкоди.","The less HP you have, the more damage your spells deal, up to +300% extra damage.","","","",""
"perk_shuffle_wands","Перемішування паличок","Shuffle Wands","","","",""
"perkdesc_shuffle_wands","Всі ваші палички замінюються випадковими паличками приблизно рівної сили.","All your wands are replaced with random wands of approximately equal power.","","","",""
"perk_heavy_ammo","Важкі боєприпаси","Heavy Ammo","","","",""
"perkdesc_heavy_ammo","Ви отримуєте вибір з 2 потужних заклинань.","You gain a selection of 2 powerful spells.","","","",""
"perk_liquid_movement","Рух рідинами","Liquid Movement","","","",""
"perkdesc_liquid_movement","Рідини ніяк не впливають на ваш рух.","Liquids don't affect your movement at all.","","","",""
"perk_faster_swimming","Швидше плавання","Faster Swimming","","","",""
"perkdesc_faster_swimming","Ви плаваєте швидше.","You swim faster.","","","",""
"perk_extra_shop_item","Додатковий предмет у Святій горі","Extra Item In Holy Mountain","","","",""
"perkdesc_extra_shop_item","На кожній Святій горі, яку ви ще не відкрили, буде додатковий предмет.","There will be an additional item in every Holy Mountain you haven't discovered yet.","","","",""
"perk_poison_burn","Палаюча отрута","Burning Poison","","","",""
"perkdesc_poison_burn","Ваші снаряди мають шанс підпалити отруєних ворогів.","Your projectiles have a chance to ignite poisoned enemies.","","","",""
"perk_low_gravity","Низька гравітація","Low Gravity","","","",""
"perkdesc_low_gravity","Ваші рухи стають більш плавними, ви можете стрибати й літати вище.","Your movement is floatier and you can jump and fly higher.","","","",""
"perk_destruction_enhancement","Посилення руйнування","Destruction Enhancement","","","",""
"perkdesc_destruction_enchancement","Ви можете більш ефективно знищувати навколишнє середовище.","You can destroy the environment more effectively.","","","",""
"perk_damaging_aura","Згубна аура","Damaging Aura","","","",""
"perkdesc_damaging_aura","Ваші заклинання завдають шкоди ворогам поблизу, навіть якщо не влучають у них.","Your spells damage nearby enemies even if they don't hit them.","","","",""
"perk_thunder_kick","Громовий копняк","Thunder Kick","","","",""
"perkdesc_thunder_kick","Ваші копняки миттєво вбивають більшість ворогів та ще далі штовхають об'єкти.","Your kicks instantly kill most foes, and push objects more.","","","",""
"perk_vision","Краще бачення","Better Vision","","","",""
"perkdesc_vision","Ви можете бачити більше в темряві.","You can see more into the darkness.","","","",""
"perk_telepathic_vision","Телепатична присутність","Telepathic Presence","","","",""
"perkdesc_telepathic_vision","Темряви більше немає, але вороги завжди знають, де ти.","Darkness is no more, but enemies always know where you are.","","","",""
"perk_no_more_knockback","Ніякого відштовхування","No More Knockback","","","",""
"perkdesc_no_more_knockback","Вороги більше не можуть зрушити вас з місця.","Enemies can no longer knock you back.","","","",""
"perk_knockback_control","Кероване відштовхування","Controllable Knockback","","","",""
"perkdesc_knockback_control","Ви зберігаєте керування, якщо вас відштовхують.","You can steer while being knocked back.","","","",""
"perk_roll_again","Ще одна спроба","Roll Again","","","",""
"perkdesc_roll_again","Ви отримуєте новий набір здібностей для вибору.","You get a new set of perks to choose from.","","","",""
"perk_reveal_secrets","Розкриті таємниці","Reveal Secrets","","","",""
"perkdesc_reveal_secrets","Скрині, серця та інші предмети сяють через темряву.","Chests, hearts and other items shine through darkness.","","","",""
"perk_potion_drop","Вибивання зілля","Potion Drop","","","",""
"perkdesc_potion_drop","Вороги мають шанс залишити випадкове зілля після смерті.","Enemies have a chance of dropping a random potion upon death.","","","",""
"perk_mystery_egg","Таємниче яйце","Mystery Egg","","","",""
"perkdesc_mystery_egg","З нього може щось вилупитись!","Something may hatch from it!","","","",""
"perk_gold_no_disappear_while_seen","Golden I","Golden I","","","",""
"perkdesc_gold_no_disappear_while_seen","Золото не зникне, до поки ви його бачите.","Gold doesn't disappear as long as it can be seen.","","","",""
"perk_mana_discount","Знижка на ману","Mana Discount","","","",""
"perkdesc_mana_discount","Всі заклинання коштують на 50% менше мани.","All spells cost 50% less mana.","","","",""
"perk_juggernaut","Заклинання джаґернаута","Juggernaut Spells","","","",""
"perkdesc_juggernaut","Ваші заклинання завдають на 30% більше шкоди, але на 30% повільніше летять.","Your projectiles deal 30% more damage, but are 30% slower.","","","",""
"perk_big_potions","Великі фляги","Big Potions","","","",""
"perkdesc_big_potions","Фляги, що ви знаходите містять вдвічі більше рідини.","Potions you find contain double the liquid.","","","",""
"perk_extra_charges","Додаткові заряди","Extra Charges","","","",""
"perkdesc_extra_charges","Заклинання з обмеженими використаннями можуть бути використані вдвічі більше разів.","Spells with limited uses can be used twice as many times.","","","",""
"perk_fast_projectiles","Швидкі снаряди","Fast Projectiles","","","",""
"perkdesc_fast_projectiles","Всі снаряди летять з подвійною швидкістю.","All projectiles fly at double speed.","","","",""
"perk_deadly_environment","Смертельне оточення","Deadly Environment","","","",""
"perkdesc_deadly_environment","Істоти отримують підвищену шкоду від отрути та інших рідин, вогню тощо.","Creatures take increased damage from poison and other liquids, fire, and more.","","","",""
"perk_cursed_power","Проклята сила","Cursed Power","","","",""
"perkdesc_cursed_power","Всі ваші палички отримують додаткову шкоду, але їх більше неможливо налаштовувати.","All your wands gain extra damage but become uncustomizable.","","","",""
"perk_randomize_spells","Рандомізувати заклинання","Randomize Spells","","","",""
"perkdesc_randomize_spells","Усі заклинання у вашому інвентарі заміняються на випадкові заклинання.","All spells in your inventory are replaced with a random spell.","","","",""
"perk_personal_raincloud","Особиста дощова хмара","Personal Raincloud","","","",""
"perkdesc_personal_raincloud","Ви збираєте воду, коли стоїте в ній, і відпускаєте її, якщо ви стріляєте в хмару, що слідує за вами.","You gather water when standing in a pool, and release it if you shoot at the cloud that follows you.","","","",""
"perk_helper_orb","Помічна сфера","Helper Orb","","","",""
"perkdesc_helper_orb","Сфера літає поблизу вас та атакує ворогів.","An orb flies near you and attacks your enemies.","","","",""
"perk_extra_wand_slot","Додаткова комірка для паличок","Extra Wand Storage","","","",""
"perkdesc_extra_wand_slot","Ви можете переносити одну додаткову паличку.","You can carry one extra wand.","","","",""
"perk_extra_potion_slot","Додаткова комірка для речей","Extra Item Storage","","","",""
"perkdesc_extra_potion_slot","Ви можете переносити один додатковий предмет.","You can carry one extra item.","","","",""
"perk_extra_action_storage","Більше місця для заклинань","Extra Spell Storage","","","",""
"perkdesc_extra_action_storage","Ви отримуєте більше місця для заклинань","You gain more room for spells","","","",""
"perk_persuasion","Переконливість","Persuasion","","","",""
"perkdesc_persuasion","Вороги з низьким рівнем здоров'я можуть почати битися за вас.","Enemies with low health may start fighting for you.","","","",""
"perk_permanent_flying","Підлога — це лава","Floor Is Lava","","","",""
"perkdesc_permanent_flying","Ви можете літати вічно, але стояння на землі поступово завдає вам шкоди.","You can fly forever, but standing on the ground deals you damage over time.","","","",""
"perk_melt","Плавлення трупів","Melting Corpses","","","",""
"perkdesc_melt","Трупи ваших ворогів перетворюються на слиз.","Your enemies' corpses melt into slime.","","","",""
"perk_double_cast","Подвійне заклинання","Double Cast","","","",""
"perkdesc_double_cast","Ваші палички активують одне додаткове заклинання при використанні.","Your wands cast one extra spell when used.","","","",""
"perk_ability_actions_materialized","Матеріалізація бомб","Bombs Materialized","","","",""
"perkdesc_ability_actions_materialized","Бомбоподібні заклинання можуть бути поміщені в комірку ПРЕДМЕТИ в інвентарі та використовуватися як метальні предмети.","Bomb-like spells can be placed in the ITEMS space in inventory and used like throwable items.","","","",""
"mat_air","Повітря","air","","","",""
"mat_fire","Вогонь","fire","","","",""
"mat_spark","Іскра","spark","","","",""
"mat_spark_green","Іскра","spark","","","",""
"mat_spark_blue","Іскра","spark","","","",""
"mat_spark_red","Іскра","spark","","","",""
"mat_spark_white","Іскра","spark","","","",""
"mat_spark_yellow","Іскра","spark","","","",""
"mat_spark_purple","Іскра","spark","","","",""
"mat_spark_player","Іскра","spark","","","",""
"mat_spark_teal","Іскра","spark","","","",""
"mat_spark_electric","Електрична іскра","electric spark","","","",""
"mat_flame","Вогонь","fire","","","",""
"mat_sand_static","Ґрунт","ground","","","",""
"mat_sand_static_rainforest","Пишний ґрунт","lush ground","","","",""
"mat_bone_static","Кісткова стіна","bone wall","","","",""
"mat_rust_static","Іржавий метал","rusted metal","","","",""
"mat_sand_static_bright","Гранітний ґрунт","granite ground","","","",""
